,Movie_Name,Director
0,Almost Famous,Cameron Crowe
1,The Shawshank Redemption,Frank Darabont
21,Boyhood,Richard Linklater
26,American Beauty,Sam Mendes
39,Mystic River,Clint Eastwood
51,Hannah and Her Sisters,Woody Allen
52,In the Bedroom,Todd Field
57,Big Fish,Tim Burton
60,The Sweet Hereafter,Atom Egoyan
62,Stand By Me,Rob Reiner
63,Inside Llweyn Davis,Joel and Ethan Coen
68,Requiem for a Dream,Darren Aronofsky
69,This Is England,Shane Meadows
70,"Paris, Texas",Wim Wenders
72,Up in the Air,Jason Reitman
77,Good Will Hunting,Gus Van Sant
80,The Master,Paul Thomas Anderson
85,The Last Picture Show,Peter Bogdanovich
102,Gran Torino,Clint Eastwood
103,Her,Spike Jonze
108,The Wrestler,Darren Aronofsky
112,12 Years a Slave,Steve McQueen
113,What's Eating Gilbert Grape,Lasse Hallstrom
